review,preprocessed_text,score,predicted_label,predicted_label_code,confidence_negatif,confidence_netral,confidence_positif,confidence_max
"kenapa map saya eror? pace pun jadi eror juga. masa bisa Pace 2. Gimana memperbaiki nya? udah saya log out gak bisa juga, sampai saya uninstall login lagi juga masih eror. TOLONG DIPERBAIKI YAA",eror pace eror pace gimana baik uninstall login eror tolong baik,1,negatif,0,0.557743878202041,0.2608293553085752,0.18142676648938394,0.557743878202041
Sering tidak terekam,rekam,2,negatif,0,0.3780133394512555,0.27144983520591354,0.350536825342831,0.3780133394512555
akurat 👍👍,akurat,5,positif,2,0.367277587711262,0.2069734268205443,0.4257489854681937,0.4257489854681937
sangat membantu menghitung jarak untuk saya yang bener bener pemula,bantu hitung jarak bener bener mula,5,positif,2,0.3013680319998592,0.1807619497524439,0.517870018247697,0.517870018247697
sering gangguan,ganggu,1,negatif,0,0.4423699891858334,0.20497420957133275,0.35265580124283374,0.4423699891858334
"Saya ngga bisa login karena kesalahan server,saya coba di hp lain masih sama saja",ngga login salah serversaya coba,1,negatif,0,0.47758987202927256,0.2302032092125821,0.29220691875814525,0.47758987202927256
tolong kembalikan Saldo dana saya 690rb saya tidak pernah berlangganan,tolong kembali saldo dana langgan,1,negatif,0,0.6654988009654932,0.2021788016585018,0.132322397376005,0.6654988009654932
"Sangat membantu buat tracking olahraga! mayan akurat, easy to use.. Bikin semangat buat terus gerak! 💪",bantu tracking olahraga mayan akurat easy bikin semangat gerak,5,positif,2,0.19208482469190744,0.10737371250542822,0.7005414628026644,0.7005414628026644
"Saya tidak sengaja berlangganan di aplikasi ini tapi dana saya tidak dikembalikan,saya sangat kecewa",sengaja langgan aplikasi dana dikembalikansaya kecewa,1,negatif,0,0.5899522822542176,0.17807512997034025,0.23197258777544225,0.5899522822542176
mohon maaf kembalikan dana saya🙏,mohon maaf kembali dana,1,negatif,0,0.4216685488620868,0.3834162945152681,0.19491515662264502,0.4216685488620868
"bug tampilan ""Tingkatkan"" pada Galaxy S24 Ultra.",tampil tingkat galaxy ultra,1,negatif,0,0.37592274467557674,0.2599529314292539,0.36412432389516936,0.37592274467557674
mantab,mantab,5,negatif,0,0.41405630395748166,0.21478921246605887,0.37115448357645947,0.41405630395748166
aplikasi keren,aplikasi bagus,5,positif,2,0.12914056271129623,0.12878483436692353,0.7420746029217803,0.7420746029217803
"seru eh, berasa main game di dunia nyata, insyallah tahun ini lari 5k pertamaku. terimakasih strava.",seru main game dunia nyata insyallah lari pertama terimakasih strava,5,positif,2,0.30480357512601863,0.214611102605575,0.4805853222684063,0.4805853222684063
kadang bisa rekam lari kadang nggak dasar aplikasi tolol,kadang rekam lari kadang dasar aplikasi tolol,1,negatif,0,0.4315357066737891,0.22480505946669568,0.34365923385951525,0.4315357066737891
"Bagus banget, walau pakai yang gratisan juga... Moga aja tidak error lagi yaah....",bagus banget pakai gratis moga error yaah,5,positif,2,0.3027523009139255,0.19936815630661886,0.4978795427794556,0.4978795427794556
luar biasa,,5,negatif,0,0.41405630395748166,0.21478921246605887,0.37115448357645947,0.41405630395748166
